File,Aleph system no.,Author,Title,Language,Location,Date,DOM ID,Type,Genre
nogenre.xlsx,014603038,"Smith, W",A Tribute of Respect to the departed worth of the much beloved Princess Charlotte of Wales.,eng,,1817,lsidyv2eb3337b,,
nogenre.xlsx,014603045,"Wyse, William Charles Bonaparte",Loyal Staves in commemoration of the Jubilee of... Queen Victoria.,eng,Plymouth,1887,lsidyv2eb34bc5,,
nogenre.xlsx,014603046,"Yates, William Joseph H",The Canadian farmer. A missionary incident.,eng,London,1879,lsidyv2eb333ff,,
nogenre.xlsx,014603251,"Foote, Samuel","Wit for the Ton! The Convivial Jester; or Samuel Foote's last budget opened. Contaning... anecdotes, bon mots, etc. With authentic memoirs of his life and writings.",eng,London,1777,lsidyv2eb4ff55,,
nogenre.xlsx,014603259,"Dorset, Catherine Ann Turner",The Lion's Masquerade... A facsimile reproduction of the edition of 1807. With an introduction by C. Welsh.,eng,London,1883,lsidyv2eb3b5ae,,
nogenre.xlsx,014603280,,"The Widow's Vow. A farce, in two acts.",eng,London,1786,lsidyv2eb3c751,,
nogenre.xlsx,014603285,"Yearsley, Ann","Stanzas of Woe, addressed from the heart on a bed of illness to L. Eames, Esq., etc.",eng,London,1790,lsidyv2eb54b9e,,
nogenre.xlsx,014603287,"Barrell, Maria","British Liberty Vindicated; or, a Delineation of the King's Bench.",eng,London,1788,lsidyv2eb428db,,
nogenre.xlsx,014603288,"Beverley, Elizabeth",The Actress's Ways and Means to industriously raise the Wind... Sixth edition.,eng,London,1825,lsidyv2eb54769,,
nogenre.xlsx,014603297,"Cobbe, Frances Power",Rest in the Lord; and other small pieces.,eng,London,1887,lsidyv2eb3b8b2,,
nogenre.xlsx,014603298,"Cole, Owen Blayney","Christmas & New-Year Carols, &c.",eng,Portishead,1880,lsidyv2eb3b814,,
nogenre.xlsx,014603300,"Dorset, Catherine Ann Turner","The peacock at home"": a sequel to The butterfly's ball / written by A lady """,eng,London,1883,lsidyv2eb3b0a4,,
nogenre.xlsx,014603313,,"Eton addresses, A.D. 1831-1836.",eng,Eton,1840,lsidyv2eb66177,,
nogenre.xlsx,014603317,,"The Family Party; a comic piece, in two acts",eng,London,1789,lsidyv2eb7f9d4,,
nogenre.xlsx,014603336,,The Senate; or Social Villagers of Kentish Town. A canto.,eng,London,1817,lsidyv2eb5a70d,,
nogenre.xlsx,014603341,"Wetherell, Dawson Bruce, Mrs",Lays of the Troubadours.,eng,London,1847,lsidyv2eb874d3,,
nogenre.xlsx,014603352,"Burton, William, Of Bristol",A Hudibrastic Address to Opposition.,eng,Bristol,1800,lsidyv2eb7ae12,,
nogenre.xlsx,014603357,"Byron, George Gordon Byron",The Lament of Tasso.,eng,London,1817,lsidyv2eb87c66,,
nogenre.xlsx,014603362,"Cholwell, Nicholas",A Monody to the Memory of the late Mr. Cholwell... In imitation of Milton's Lycidas.,eng,,1774,lsidyv2eb63ebe,,
nogenre.xlsx,014603417,"S., M. A","The Lay of the Lincoln's Inn Legion. Monday, April 10th, 1848.",eng,,1848,lsidyv2eb99d97,,
nogenre.xlsx,014603434,"Arnold, Samuel","The Triumph of Truth; a sacred oratorio, selected from the works of... Handel, Purcel, Dr. Arne, Correlli, Iomelli, Sacchini, and Haydn.",eng,London,1789,lsidyv2eb9da57,,
nogenre.xlsx,014603437,,"Elijah's Mantle... The sixth edition, corrected by the author.",eng,London,1807,lsidyv2eba0da2,,
nogenre.xlsx,014603464,"Fallall, Fardinando","Carmina colloquia; or, a demonaicall and damnable dialogue between the Devil and an Independent. Written in the last year of our freedome, and first of our bondage,... by Fardinando Fallall, at Edinburgh, etc.",eng,,1649,lsidyv2eba2ca2,,
nogenre.xlsx,014603466,"W., R","Τεχνηπολεμογαμια· or the marriage of armes and arts. July 12. 1651. Being an Accompt of the Art at Oxon, to a friend.",eng,London,1651,lsidyv2eba2d0b,,
nogenre.xlsx,014603520,"Forman, Alfred",Sonnets.,eng,London,1886,lsidyv2ebad992,,
nogenre.xlsx,014605551,,Lays of Malvern by Spirits of the Spring.,eng,Birmingham,1859,lsidyv2ebb5640,,
nogenre.xlsx,014605569,"Norton, Fleming","Egyptian Hall, Piccadilly. Mr. Fleming Norton's musical and mimetic entertainment, entitled “Perkin's Pic-nic.”",eng,London,1875,lsidyv2ebb1b9f,,
nogenre.xlsx,014605575,"Pope, Alexander","An Essay on Criticism... The sixth edition, corrected.",eng,London,1722,lsidyv2ebcfeeb,,
nogenre.xlsx,014605579,,"Saturnalia, or Beaconsfield at the vote of censure.",eng,London,1885,lsidyv2ebb54b7,,
nogenre.xlsx,014605583,,"The Antisatyrist. A dialogue. To which is prefixed, A Short Dissertation on Panegyric, and Satyr.",eng,Dublin,1750,lsidyv2f0b844a,,
nogenre.xlsx,014605595,,"A new musical Interlude, called the Election.",eng,London,1774,lsidyv301334c2,,
nogenre.xlsx,014605596,,"A new musical Interlude, called the Election.",eng,London,1780,lsidyv301335a5,,
nogenre.xlsx,014605598,"Gosson, Stephen","Pleasant Quippes for Upstart Newfangled Gentlewomen. To which is added, Pickings and Pleasantries from the Trumpet of Warre: a sermon by Gosson.",eng,Totham,1847,lsidyv3141bc18,,
nogenre.xlsx,014605609,"P., H",A Satyr against Common-wealths.,eng,London,1684,lsidyv306bcca4,,
nogenre.xlsx,014605612,"Poole, John","Who's Who? or, the Double Imposture. A farce in two acts.",eng,London,1815,lsidyv30134289,,
nogenre.xlsx,014605614,"Reynolds, Frederic","What's a Man of Fashion? A farce, in two acts, etc.",eng,London,1815,lsidyv3013439a,,
nogenre.xlsx,014605615,"Robertson, Frederick William, Incumbent Of Trinity Chapel, Brighton","On the anniversary of the death of the Rev. F. W. Robertson, etc.",eng,,1853,lsidyv302b4eec,,
nogenre.xlsx,014605623,"Wordsworth, William",Wordsworth for the young. With introduction and notes by J. C. Wright.,eng,Jarrold,1893,lsidyv31421726,,
nogenre.xlsx,014605627,,"The Beggar's Daughter of Bednall Green, as edited by Dr. Percy. With an original preface. Illustrated with engravings on wood... from designs by Harvey.",eng,London,1865,lsidyv30317953,,
nogenre.xlsx,014605628,"Copland, Robert","Jyl of Breyntfords Testament, by Robert Copland... The Wyll of the Deuyll and his Last Testament, a Talk of Ten Wives on their Husbands' Ware, a balade or two by Chaucer, and other short pieces. Edited by Frederick J. Furnivall.",eng,London,1871,lsidyv3083eb9a,,
nogenre.xlsx,014605633,"Byron, George Gordon Byron","Historical Illustrations of Lord Byron's Works, in a series of etchings, by Reveil, from original paintings, by A. Colin.",eng,London,1833,lsidyv30726297,,
nogenre.xlsx,014605634,"C., S. K","Extempore to Walter Scott, Esq., on the publication of the new edition of the Bridal of Triermain, etc.",eng,,1819,lsidyv32b53bdf,,
nogenre.xlsx,014605648,"Fox, Charles James","Epistle from the Hon. C. Fox, partridge-shooting, to the Hon. J. Townshend, cruising. The third edition, corrected.",eng,London,1780,lsidyv3073cf35,,
nogenre.xlsx,014605651,"Green, James",Poems & Sonnets on Weardale and Teesdale.,eng,Weardale,1885,lsidyv3142471c,,
nogenre.xlsx,014605661,,"The Loyal Man in the Moon, etc.",eng,London,1820,lsidyv32b5e6eb,,
nogenre.xlsx,014605666,"Mudie, Robert",The Maid of Griban: a fragment.,eng,Dundee,1810,lsidyv315217b9,,
nogenre.xlsx,014605668,"Nisbet, Charles",Monody to the memory of... C. Nisbet.,eng,Edinburgh,1805,lsidyv307971b9,,
nogenre.xlsx,014605674,"Phillips, Charles, One Of The Commissioners Of The Insolvent Debtors' Court",A Garland for the grave of R. B. Sheridan.,eng,London,1816,lsidyv308a67ce -- lsidyv33522efe,,
nogenre.xlsx,014605679,"S., J. L. O","The Haunted Fire of Uller, an Iernian Legend.",eng,Dublin,1810,lsidyv32b609e0,,
nogenre.xlsx,014605682,,The Spouter's Companion... illustrated with the art of acting and the picture of a spouting club.,eng,London,1800,lsidyv314508ea,,
nogenre.xlsx,014605688,"Tresham, Henry",A Tributary Law inscribed to the memory of... the Marquis of Lansdowne.,eng,London,1810,lsidyv30748017,,
nogenre.xlsx,014605692,"W., D",The Queen's Choir; a revery in Roslin Woods.,eng,Edinburgh,1853,lsidyv30892118,,
nogenre.xlsx,014605699,,"The Old Bachelor, after Southey's “Cataract of Lodore,” described and dedicated to bachelors and bazaars.",eng,Tamworth,1839,lsidyv3158240b,,
nogenre.xlsx,014605702,"Beaumont, Francis","The Little French Lawyer. A farce, in two acts. Taken from Beaumont and Fletcher.",eng,London,1778,lsidyv3153f4f3,,
nogenre.xlsx,014608195,,"The Coffee Scuffle, occasioned by a contest between a learned Knight, and a pitifull pedagogue. With the character of a Coffee-House.",eng,London,1662,lsidyv32b6f548,,
nogenre.xlsx,014608196,,"The Complaint: or, Night-Thoughts on Life, Death and Immortality. The fifth edition.",eng,London,1744,lsidyv32b66fd4,,
nogenre.xlsx,014608198,"Cox, Afterwards Gardiner, Mrs","An Epithalamium address'd to Mrs. Cox, on her marriage with Mr. Gardiner.",eng,London,1715,lsidyv3161ff89,,
nogenre.xlsx,014608201,"Darnton, Peter William","Words of The Victories of Faith. A sacred cantata, with Scriptural readings. Compiled, and partly written, by P. W. Darnton... The music composed by Charles Darnton, etc.",eng,London,1893,lsidyv3187364b,,
nogenre.xlsx,014608204,"Denton, Thomas","Immortality: or, the Consolation of human life. A monody.",eng,London,1755,lsidyv38613fb9 -- lsidyv3175a696,,
nogenre.xlsx,014608207,"Dibdin, Thomas","Past Ten o'Clock, and a rainy night, a farce. In two acts.",eng,London,1815,lsidyv32b63e15,,
nogenre.xlsx,014608208,"Drake, Francis","The voyages and travels of that renowned Captain Sir F. Drake into the West Indies, and round about the world, etc.",eng,,1652,lsidyv30a6678d,,
nogenre.xlsx,014608209,,Each for himself. A farce in two acts,eng,London,1816,lsidyv309cda5f,,
nogenre.xlsx,014608210,"Benson, Robert","Britain's Glory: or, A Trip to Portsmouth, a musical entertainment, etc.",eng,London,1794,lsidyv315ab5dd,,
nogenre.xlsx,014608211,,"An Heroi-Comical Epistle from a certain Doctor to a certain Gentle-woman, in defence of the most antient art of punning.",eng,London,1720,lsidyv30a958bf,,
nogenre.xlsx,014608221,"Galilei, Galileo",Galileo's dream.,eng,Francis,1846,lsidyv32b62cdf,,
nogenre.xlsx,014608222,"Gay, John","A letter to a lady, occasion'd by the arrival of Her Royal Highness the Princess of Wales.",eng,Bernard,1714,lsidyv30a95856,,
nogenre.xlsx,014608224,"Green, William, Weaver","The sufferings of W. G. Being a sorrowful account of his seven years transportation, etc.",eng,London,1775,lsidyv32b681aa,,
nogenre.xlsx,014608228,,"The Inspector's rhapsody or soliloquy, on the loss of his wigg, in a scuffle with some Irish gentlemen at Ranelagh.",eng,London,1752,lsidyv3185850a,,
nogenre.xlsx,014608233,,"The King and the Duke; or, Which is Which? A Farce, in two Acts, etc.",eng,London,1814,lsidyv32b63c5f,,
nogenre.xlsx,014608237,,"Candid and impartial strictures on the performers belonging to Drury-Lane, Covent-Garden and the Haymarket Theatres, etc.",eng,London,1795,lsidyv309963f4,,
nogenre.xlsx,014608238,"Macnally, Leonard","Tristram Shandy; a sentimental, Shandean bagatelle, in two acts",eng,London,1783,lsidyv315a0a99,,
nogenre.xlsx,014608244,,"Night the Third. Narcissa, etc.",eng,London,1742,lsidyv30a3452d,,
nogenre.xlsx,014608247,"Pilon, Frederick","Illumination: or, the Glazier's Conspiracy. A prelude",eng,London,1779,lsidyv309f68f0,,
nogenre.xlsx,014608248,"Pilon, Frederick","The Siege of Gibraltar: a musical farce, in two acts.",eng,London,1780,lsidyv32b62db4,,
nogenre.xlsx,014608251,"Pocock, Isaac","The Miller and his Men, a melo-drame, in two acts. Second edition.",eng,London,1813,lsidyv32b63b1e,,
nogenre.xlsx,014608252,"Poole, John","Intrigue: a comic interlude, in one act",eng,London,1814,lsidyv309b45ee,,
nogenre.xlsx,014608253,,"The Protestant Martyrs: or, the Bloody Assizes, giving an account... of all those eminent Protestants that suffered in the West of England, by the sentence of Judge Jefferies... containing also the life and death of James Duke of Monmouth, etc.",eng,London,1688,lsidyv32b68111,,
nogenre.xlsx,014608255,,"Reformation. A comic interlude in one act, etc.",eng,London,1815,lsidyv309bec8b,,
nogenre.xlsx,014608259,,"The Sailor's Warning Piece: Being a dreadful relation of 7 English Sailors, etc.",eng,Black,1700,lsidyv31650e9f,,
nogenre.xlsx,014608269,,Types of the Times.,eng,London,1820,lsidyv317e18ed -- lsidyv338c2847,,
nogenre.xlsx,014608270,"Trotter, Thomas","Suspiria Oceani: a monody on the death of Richard Earl Howe, K.G., Admiral of the Fleet, etc.",eng,London,1800,lsidyv31762ab6,,
nogenre.xlsx,014608271,,"Mr. Morton's Zorinski and Brooke's Gustavus Vasa compared. Also a critique on Zorinski... With alterations and additions, by Truth.",eng,London,1795,lsidyv31642779,,
nogenre.xlsx,014608276,"Buckingham, George Villiers","The New Key to the Rehearsal. Written by George, late Duke of Buckingham.",eng,London,1717,lsidyv30958d43,,
nogenre.xlsx,014608282,,A friendly epistle to the author of The state dunces,eng,London,1733,lsidyv32b68468,,
nogenre.xlsx,014608288,"Betterton, Thomas","Barnaby Brittle; or, a Wife at her Wit's End; a farce; in two acts... altered from Molière and Betterton, with additions.",eng,London,1782,lsidyv315a0988,,
nogenre.xlsx,014608300,"Byron, George Gordon Byron","Monody on the Death of the Right Honourable R. B. Sheridan, written at the request of a friend, to be spoken at Drury Lane Theatre.",eng,London,1816,lsidyv335232c4,,
nogenre.xlsx,014608302,"Caroline, Queen, Consort Of George Iv, King Of Great Britain",The Queen's Matrimonial Ladder... Twenty-sixth edition.,eng,London,1820,lsidyv33525bf9,,
nogenre.xlsx,014608306,,"A collection of Christmas carols, printed on single sheets.",eng,Birmingham,1830,lsidyv3199cd56,,
nogenre.xlsx,014608310,"Cottle, Joseph",An Expostulatory Epistle to Lord Byron.,eng,London,1820,lsidyv32c4bf61,,
nogenre.xlsx,014608330,"Ireland, Samuel","Mr. I's vindication of his conduct respecting the publication of the supposed Shakspeare MSS. being a preface or introduction to a reply to the critical labors of Mr. Malone, in his Enquiry into the authenticity of certain papers, etc.",eng,London,1796,lsidyv31a3dc9f -- lsidyv3175ed85,,
nogenre.xlsx,014608331,"Ireland, W. H., William Henry","An authentic account of the Shaksperian manuscripts, etc. Few MS. notes.",eng,,1796,lsidyv31a3db6a -- lsidyv31765303,,
nogenre.xlsx,014608332,"Macready, William","The Irishman in London: or, the Happy African: a farce, in two acts, etc.",eng,London,1793,lsidyv31af7c5f,,
nogenre.xlsx,014608336,,"Don Juan, or the Libertine destroy'd: a tragic pantomical entertainment in two acts, etc.",eng,London,1789,lsidyv32b9eb97,,
nogenre.xlsx,014608338,"Kenney, James","Too many Cooks: a musical farce, in two acts, etc.",eng,London,1805,lsidyv3351989f,,
nogenre.xlsx,014608341,"Malone, Edmond","A letter to... R. Farmer, relative to the edition of Shakspeare, published in 1790, and some criticisms on that work.",eng,London,1792,lsidyv31a39f85 -- lsidyv36d0259a,,
nogenre.xlsx,014608342,"Marat, Jean Paul","Reprint of two tracts,-1. An Essay on Gleets. 2. An enquiry into the nature, cause and cure of a singular Disease of the Eyes. Edited with an introduction by J. B. Bailey.",eng,London,1891,lsidyv3352bb06,,
nogenre.xlsx,014608348,,"Neptune's Triumph for the Returne of Albion, celebrated in a Masque at the Court on the Twelfth Night 1623.",eng,,1623,lsidyv32c71a95,,
nogenre.xlsx,014608356,,One Lay of a Night-Harper to his Queen. Edited by J. Senwood.,eng,London,1820,lsidyv335256bc,,
nogenre.xlsx,014608367,"Pope, Walter","Dr. Pope's Wish. The only correct... copy, etc.",eng,London,1697,lsidyv32d478a7,,
nogenre.xlsx,014608371,"Ross, James, Of Liverpool","Sonnet on Freedom, and twelve other poems.",eng,Bristol,1886,lsidyv31b38da1,,
nogenre.xlsx,014608373,,Satyr to his Muse.,eng,London,1682,lsidyv32bad548,,
nogenre.xlsx,014608384,,"The Life and Adventures of Toby, the Sapient Pig; with his opinions on men and manners. Written by himself, etc.",eng,London,1805,lsidyv33525b48,,
nogenre.xlsx,014608390,Voltaire,"Three Epistles in the ethic way. From the French of M. de Voltaire - viz., I. Happiness, II. Freedom of Will. III. Envy.",eng,London,1738,lsidyv32c83a6b,,
nogenre.xlsx,014608391,Voltaire,"Epistles translated from the French of Mr. Voltaire. On Happiness, Liberty, and Envy...",eng,London,1738,C.194.c.55,,
nogenre.xlsx,014608400,,"Modern Anecdotes of the New Green-Bag-Room, representing a list of the pieces performed, and now performing, at the Theatre Royal, Cotton Garden, with criticisms and remarks in the plays, tragi-comedies, farces, &c. and the principal actors.",eng,London,1820,lsidyv33525c9e,,
nogenre.xlsx,014608402,"B., F. H","An Address to the Right Hon. Lord Byron, with an opinion on some of his writings.",eng,London,1817,lsidyv33522589,,
nogenre.xlsx,014608403,,"Exchange Ware at the second hand, viz. Band, Ruffe, and Cuffe, lately out, and now newly dearned vp... The second edition.",eng,,,lsidyv3352d824,,
nogenre.xlsx,014608408,"Berguer, Lionel Thomas","Stanzas, inscribed to Walter Scott, Esq.",eng,Edinburgh,1815,lsidyv335038bf,,
nogenre.xlsx,014608418,"Byron, George Gordon Byron",The Lament of Tasso.,eng,London,1817,lsidyv33829d2a,,
nogenre.xlsx,014608420,"Byron, George Gordon Byron","Reflections on Shipboard, by Lord Byron.",eng,London,1816,lsidyv33829ca9,,
nogenre.xlsx,014608421,,A New Canto.,eng,London,1819,lsidyv33585148,,
nogenre.xlsx,014608426,"Chaucer, Geoffrey",The Loves of Toilus and Creseid... with a commentary by Sir Francis Kinaston: never before published.,eng,London,1796,lsidyv3353352f,,
nogenre.xlsx,014608428,"Cobb, Samuel",The Portugal Expedition. To which is added Dr. G-h's Epigram on the same subject.,eng,London,1704,lsidyv3382ba27,,
nogenre.xlsx,014608431,"Colquhoun, Katharine","Alias. A farce, in one act,.",eng,,1859,lsidyv33838ea8,,
nogenre.xlsx,014608441,"De Crespigny, Mary Champion",A Monody to the Memory of the Right Honourable the Lord Collingwood.,eng,London,1810,lsidyv338276bb,,
nogenre.xlsx,014608449,"Fenton, Elijah","An epistle to Mr Southerne... from Kent, Jan. 28. 1711/10.",eng,London,1711,lsidyv33531b8f,,
nogenre.xlsx,014608459,"Hitchener, William Henry",Love in a Desert; a musical entertainment in two acts,eng,London,1802,lsidyv3352ed86,,
nogenre.xlsx,014608466,,The Careless Chicken.,eng,London,1853,lsidyv3358a1a6,,
nogenre.xlsx,014608467,,Funny leaves for the Younger Branches.,eng,London,1852,lsidyv33589cef,,
nogenre.xlsx,014608475,"Macgregor, Helen",The Burial of Wellington: a dirge.,eng,London,1853,lsidyv33833fdf,,
nogenre.xlsx,014608495,"Praed, Winthrop Mackworth",Charades.,eng,New-York,1752,lsidyv3358a04d,,
nogenre.xlsx,014608499,"Rondeau, James",Leopold's Loss: or England's Tears o'er the urn of her beloved Princess Charlotte Augusta. A monody.,eng,London,1817,lsidyv33832a02 -- lsidyv3a25141a,,
nogenre.xlsx,014608500,"S., H. S",A Lay from Cornwall for the Jubilee of Queen Victoria.,eng,Bodmin,1887,lsidyv3083da5d -- lsidyv3382bd00,,
nogenre.xlsx,014608508,,"Something for Everybody: or, the Last will and testament of a Welch Man, lately deceased.",eng,London,1729,lsidyv3382bb59,,
nogenre.xlsx,014608523,Remaʿ,"A Warning to the inhabitants of England, and London in particular...",eng,,1676,lsidyv3383e059,,
nogenre.xlsx,014608531,"Byron, George Gordon Byron",The Curse of Minerva.,eng,Philadelphia,1815,lsidyv3385caff,,
nogenre.xlsx,014608538,"Collins, Edward James Mortimer",Windermere; a poem. And Sonnets.,eng,Kendal,1848,lsidyv33862d59,,
nogenre.xlsx,014608541,"Croker, Margaret Sarah",Monody on His late Royal Highness the Duke of Kent.,eng,London,1820,lsidyv338528b3,,
nogenre.xlsx,014608547,"Dorset, Catherine Ann Turner","The peacock at home / by Mrs. Dorset; illustrated and illuminated by her grand niece, Mrs. W. Warde.",eng,London,1849,lsidyv33866e2a,,
nogenre.xlsx,014608549,"Duvard, Primogene","Devotional Exercises for fourteen days, etc.",eng,York,1846,lsidyv338681a4,,
nogenre.xlsx,014608553,"Evans, Sebastian",Sonnets on the death of the Duke of Wellington.,eng,Cambridge,1852,lsidyv3386d11e,,
nogenre.xlsx,014608564,"Hodges, Sydney",Dirge for the buried Duke.,eng,London,1852,lsidyv3386292d,,
nogenre.xlsx,014608568,"Hume, Joseph Burnley",Joseph Hume: a memorial.,eng,London,1855,lsidyv3385d326,,
nogenre.xlsx,014608571,"Keats, John",Lamia... With illustrative designs by Will H. Low.,eng,London,1888,lsidyv338601a2,,
nogenre.xlsx,014608572,"L., J",Little Nora.,eng,Edinburgh,1853,lsidyv338632bd,,
nogenre.xlsx,014608575,"Lamb, Charles","Prince Dorus... with nine illustrations in facsimile, hand-coloured.",eng,London,1889,lsidyv338664d1,,
nogenre.xlsx,014608577,"Lloyd, John, Of Brecon, The Elder",The English Country Gentleman; his sports and pastimes.,eng,London,1854,lsidyv33840749,,
nogenre.xlsx,014608583,,“Night Thoughts” repeated at Dawn.,eng,London,1853,lsidyv3386c866,,
nogenre.xlsx,014608584,"Oates, Titus",Heroic Epistle from Titus Oates to his lineal descendant Agag Oates at Oxford.,eng,London,1845,lsidyv3383eb3c,,
nogenre.xlsx,014608594,"Praed, Winthrop Mackworth",Every-day Characters... Illustrated by C. Aldin.,eng,London,1896,lsidyv338670d0,,
nogenre.xlsx,014608620,"Wellington, Arthur Wellesley",Dirge on the... Duke of Wellington F.P.,eng,London,1853,lsidyv338629c6,,
nogenre.xlsx,014608623,"Yarrow, John",Monody on the death of the Duke of Wellington.,eng,London,1852,lsidyv3386cfc8,,
nogenre.xlsx,014608636,"Burton, William, Comedian",A Pasquinade on the Performers of the York Company.,eng,Leeds,1801,lsidyv3387597e,,
nogenre.xlsx,014608638,"Byron, George Gordon Byron","Monody on the Death of the Right Honourable R. B. Sheridan, written at the request of a friend, to be spoken at Drury Lane Theatre.",eng,London,1817,lsidyv338a51a3,,
nogenre.xlsx,014608641,"Caroline, Queen, Consort Of George Iv, King Of Great Britain","The Queen's Matrimonial Ladder, a national toy...",eng,London,1820,lsidyv33895af5,,
nogenre.xlsx,014608645,"Coleridge, Samuel Taylor","Christabel: Kubla Khan, a vision; The Pains of Sleep.",eng,London,1816,lsidyv338b9334 -- lsidyv364b54fe,,
nogenre.xlsx,014608658,"Gaskin, Arthur J",A Book of Pictured Carols. Designed under the direction of A. J. G.,eng,London,1893,lsidyv338c38e1,,
nogenre.xlsx,014608660,"Glynn, Robert",The Day of Judgment.,eng,Cambridge,1800,lsidyv338a0695,,
nogenre.xlsx,014608663,"Hornby, William",The Scourge of Drunkennes.,eng,London,1859,lsidyv3388936d,,
nogenre.xlsx,014608665,,Hugo's cordial drops for the country. 1828. Prepared by...... State-Chemist.,eng,London,1828,lsidyv338b5482,,
nogenre.xlsx,014608667,,The Queen that Jack found. With thirteen cuts... Sixth edition.,eng,London,1820,lsidyv33875c8d,,
nogenre.xlsx,014608669,,The Political House that Jack built... Nineteenth edition.,eng,London,1819,lsidyv33883b5d,,
nogenre.xlsx,014608672,,The Political Queen that Jack loves... Seventh edition.,eng,London,1820,lsidyv33890e0f,,
nogenre.xlsx,014608677,"Keble, John",Precious Thoughts from Keble.,eng,London,1896,lsidyv33876dd8,,
